county,precinct,office,district,party,candidate,votes
Johnson,Park 1-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,29
Johnson,Park 1-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,402
Johnson,Park 1-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,42
Johnson,Park 1-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,193
Johnson,Park 1-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,23
Johnson,Park 1-12,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,543
Johnson,Park 1-12,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,54
Johnson,Park 1-13,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,275
Johnson,Park 1-13,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,35
Johnson,Park 1-14,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,394
Johnson,Park 1-14,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,48
Johnson,Park 1-15,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,204
Johnson,Park 1-15,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,13
Johnson,Park 1-16,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,458
Johnson,Park 1-16,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,58
Johnson,Park 1-17,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,233
Johnson,Park 1-17,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 1-18,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,377
Johnson,Park 1-18,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 1-19,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,346
Johnson,Park 1-19,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,33
Johnson,Park 1-20,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,211
Johnson,Park 1-20,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Park 1-21,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,119
Johnson,Park 1-21,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,16
Johnson,Park 1-22,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,104
